Price,Close,High,Low,Open,Volume
Ticker,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS
Date,,,,,
2024-12-10,359.56878662109375,361.5655971551908,356.89016226904977,359.42268578335523,7913822
2024-12-11,356.0135498046875,361.12728752418025,355.2343254709659,359.6662196043252,9998662
2024-12-12,346.3704833984375,357.4745928722576,343.83795990165373,356.50054766007156,22538216
2024-12-13,347.8802185058594,349.0003644804533,339.016401717966,346.51656124437557,14269143
2024-12-16,343.74053955078125,349.58481065584016,342.57170316506944,347.8802315835313,12168143
2024-12-17,339.9904479980469,344.66588255720694,338.2371786167987,342.8638930831192,15646176
2024-12-18,332.8799743652344,341.8898932032107,331.17539512561723,340.47751565732676,14672392
2024-12-19,328.642822265625,331.75977858461613,326.3538102556314,328.25321015712575,14513129
2024-12-20,324.6005554199219,334.9741306157737,322.40895377042506,329.03244908759336,20375797
2024-12-23,324.9902038574219,329.4708181198958,321.92196715040814,327.1818057517892,8884187
2024-12-24,326.5973815917969,328.1071696624022,323.139532620498,326.40259036447947,7755462
2024-12-26,325.9642639160156,328.64288857496695,323.6265610678499,326.59738743575775,9030212
2024-12-27,326.30517578125,331.1754022854478,325.5259514307798,327.91234458253456,9090597
2024-12-30,322.798583984375,328.0584222928027,318.90240305583575,326.3051527651606,36657549
2024-12-31,324.697998046875,325.915554639427,317.7335802825779,321.53235090623974,8580998
2025-01-01,324.9902038574219,325.96424914380736,320.2660782733516,324.3570803663719,7843971
2025-01-02,329.227294921875,329.8117280177243,321.4349329118898,324.99019213384514,16543382
2025-01-03,331.029296875,335.5586015164053,328.30195223492035,329.275997522341,8689629
2025-01-06,318.99981689453125,332.83127122718184,317.9770812801846,332.83127122718184,10538077
2025-01-07,320.0712585449219,321.77583764428186,316.66210034620195,318.51278028040696,13891401
2025-01-08,316.95428466796875,321.92192085930895,313.4964362887264,321.92192085930895,8993608
2025-01-09,312.035400390625,317.49005971139246,311.4996576702137,315.6393499642468,12403467
2025-01-10,300.24945068359375,312.6685277191682,299.6163272111943,312.03540424676873,15941143
2025-01-13,290.4602966308594,301.90532797124416,289.1453296381405,293.28502182508817,29630336
2025-01-14,302.3436279296875,304.58394975310665,292.4083846002882,292.65189590334455,22732888
2025-01-15,313.00946044921875,315.8828762245816,304.4378440465098,304.4378440465098,21894626
2025-01-16,317.0517272949219,318.8049968459834,313.30164715601063,316.27250298900606,14865186
2025-01-17,317.6848449707031,320.46087981388723,314.9575302241897,316.8569005823147,7129232
2025-01-20,327.327880859375,328.2532356988748,316.12636094680215,317.73355932335454,17991880
2025-01-21,315.8828430175781,329.47078529927836,315.3958204229007,329.0324530738686,12774630
2025-01-22,314.03216552734375,318.51277937806805,309.11324917332604,318.51277937806805,11068145
2025-01-23,315.249755859375,316.6621334366349,311.2561641784536,312.6685417557136,6477347
2025-01-24,315.249755859375,321.3375389932479,313.7399975323759,316.3699020109069,7492600
2025-01-27,313.8373718261719,316.6133768347771,306.8242345742741,315.2497195151026,13803855
2025-01-28,309.9898986816406,315.44455798924594,300.1520357791654,314.12959096568454,22008929
2025-01-29,312.9120178222656,314.51918644341225,305.16834665833164,311.69446133268485,16056888
2025-01-30,314.61663818359375,318.31799850731676,312.81464839750333,313.8861041940034,10375720
2025-01-31,318.0523681640625,320.26106516520184,311.7207581111816,316.53083332400354,13195557
2025-02-01,311.8680114746094,324.7275115670738,310.9354385866664,320.06470704209613,10097627
2025-02-03,305.53643798828125,308.28502689325904,298.4195249748996,304.40755432935725,15881217
2025-02-04,313.2423095703125,314.56753370604025,304.603832581495,309.07032652358714,12141064
2025-02-05,313.7331237792969,317.11977431666554,312.55514014007485,315.107418053477,12226722
2025-02-06,307.0579528808594,316.77624363752193,305.6836585180837,316.67807333503004,13384442
2025-02-07,311.1318054199219,313.38957266052614,306.3708301961734,307.7451246016443,8937447
2025-02-10,304.8002014160156,311.0336414783167,303.32773667487544,310.6900603805763,6806132
2025-02-11,299.9901428222656,306.6162338681028,298.56674831835977,306.6162338681028,13241830
2025-02-12,300.6282043457031,301.8552582409917,294.4929348692602,300.57913417283976,7616083
2025-02-13,301.0699768066406,302.9350928665682,297.53605534935167,300.53005508049546,9086906
2025-02-14,294.8365173339844,302.59149199709935,292.87323109231625,301.2171976194058,7446248
2025-02-17,296.7998046875,297.6342073348089,287.42509487399354,292.0388295421455,6464173
2025-02-18,305.48736572265625,306.66531954928587,292.038842344354,295.62183391441533,15793327
2025-02-19,309.021240234375,310.5428050351532,304.8983571309295,305.4873489906704,13079903
2025-02-20,319.1812744140625,321.1445607766984,305.7818509805468,306.81256433798166,22888146
2025-02-21,320.26104736328125,323.696798062964,315.6473130121884,317.3651883620298,10809296
2025-02-24,314.2239685058594,319.42666505563915,313.58590646973477,316.1872547446247,6034113
2025-02-25,312.84967041015625,315.5982591287964,309.95381125946335,314.22396476947637,10686112
2025-02-27,309.9047546386719,313.4386460150635,308.72677087496027,309.561173544475,7302366
