Date,Adj Close,Close,High,Low,Open,Volume
20/05/2021,816.7667847,973.0999756,984.7999878,965.2000122,984.7999878,1769194
21/05/2021,822.9779663,980.5,986,971.8499756,976.9500122,1534262
24/05/2021,825.6637573,983.7000122,994,975.0999756,979.7999878,1830838
25/05/2021,833.1759033,992.6500244,1001.700012,983.7999878,990.0499878,2719646
26/05/2021,845.8920288,1007.799988,1012,993,995.6500244,2013788
27/05/2021,855.9642334,1019.799988,1032,1006.900024,1007,6393813
28/05/2021,861.3779297,1026.25,1033,1012.599976,1020,1839013
31/05/2021,857.5169678,1021.650024,1032,1013,1025,1801746
01/06/2021,864.9450684,1030.5,1032,1013.349976,1024.699951,1262702
02/06/2021,853.5720825,1016.950012,1024.699951,994,1020.200012,5252186
03/06/2021,851.3897095,1014.349976,1020.75,1007,1016.950012,2024676
04/06/2021,855.4606323,1019.200012,1026.949951,1011,1019.549988,2315912
07/06/2021,868.2185669,1034.400024,1038.949951,1019.450012,1024.949951,1745475
08/06/2021,887.8173828,1057.75,1060.900024,1037.050049,1039,4517995
09/06/2021,883.2009888,1052.25,1064.449951,1046.199951,1057.75,2163655
10/06/2021,893.8186035,1064.900024,1074,1056.5,1059.699951,3934077
11/06/2021,900.6173706,1073,1082.400024,1054.900024,1064.900024,4988857
14/06/2021,897.4698486,1069.25,1079.349976,1058,1073,2757666
15/06/2021,895.4552612,1066.849976,1093,1061.650024,1069.25,3484298
16/06/2021,897.3858032,1069.150024,1077.949951,1055,1070,1881596
17/06/2021,906.7026367,1080.25,1084.699951,1057.050049,1059.949951,3161931
18/06/2021,898.6867676,1070.699951,1091.599976,1055,1089.5,4396398
21/06/2021,892.1400146,1062.900024,1070.050049,1055,1059,1074790
22/06/2021,887.3557129,1057.199951,1072,1053.699951,1061.050049,2437289
23/06/2021,886.7260742,1056.449951,1062.300049,1038.449951,1060,4130539
24/06/2021,906.4927368,1080,1082.300049,1052.5,1056.550049,3617010
25/06/2021,914.4664307,1089.5,1103.199951,1077,1087.400024,3200049
28/06/2021,927.5602417,1105.099976,1108,1081.099976,1091,2143755
29/06/2021,913.3334351,1088.150024,1109.400024,1083,1109,2956332
30/06/2021,919.4606323,1095.449951,1105,1083.300049,1088.199951,1917370
01/07/2021,910.8154297,1085.150024,1099.349976,1081,1096,1459518
02/07/2021,914.3825684,1089.400024,1097.5,1075,1087,1669409
05/07/2021,902.0023804,1074.650024,1094.949951,1071.199951,1093,2597359
06/07/2021,880.9346924,1049.550049,1074.650024,1047.75,1074.650024,3865594
07/07/2021,877.8710327,1045.900024,1059.5,1030.099976,1049.550049,3713891
08/07/2021,889.831604,1060.150024,1063.400024,1045,1049,2171947
09/07/2021,882.7811279,1051.75,1068.800049,1049,1055.199951,1889035
12/07/2021,886.8520508,1056.599976,1058.699951,1046.099976,1057,3224820
13/07/2021,881.4384155,1050.150024,1062,1048,1062,1908081
14/07/2021,905.2337646,1078.5,1080,1048,1054,3173326
15/07/2021,933.7294312,1112.449951,1119.699951,1076.400024,1078,5922995
16/07/2021,925.923584,1103.150024,1118.300049,1083.050049,1112.400024,2323939
19/07/2021,918.4113159,1094.199951,1110.449951,1086.099976,1088,1409001
20/07/2021,912.5359497,1087.199951,1102.199951,1084.900024,1095.949951,1230858
22/07/2021,964.0716553,1148.599976,1152.5,1080,1080,7309727
23/07/2021,974.7588501,1131,1141.5,1115.099976,1123.949951,2840803
26/07/2021,965.4508057,1120.199951,1138.550049,1116.550049,1131,984581
27/07/2021,966.0109253,1120.849976,1127.699951,1104.050049,1120.199951,1397105
28/07/2021,964.8908081,1119.550049,1130.699951,1106.5,1124,2533035
29/07/2021,972.0008545,1127.800049,1141.349976,1115.099976,1128.699951,3821405
30/07/2021,1042.457642,1209.550049,1237.300049,1175,1185,20425030
02/08/2021,1043.448608,1210.699951,1214,1195.550049,1210,2385223
