Date,Adj Close,Close,High,Low,Open,Volume
01/07/2022,657.02,676.6500244,679.9500122,669,675,1330472
04/07/2022,672.21,692.2999878,694,678,678,1832039
05/07/2022,682.2606812,702.6500244,712.9000244,697,698,3662593
06/07/2022,682.55,702.9500122,713.5999756,701.5,707,1253320
07/07/2022,677.7941284,698.0499878,714.7000122,696,708,1843219
08/07/2022,687.55,708.0999756,710.7999878,701.25,701.25,2152750
11/07/2022,697.3594971,718.2000122,721.9000244,704.3499756,707.9500122,1638255
12/07/2022,696.78,717.5999756,724.4000244,714.3499756,718.7000122,1355821
13/07/2022,697.9906006,718.8499756,723.9000244,715.4500122,719.9000244,887093
14/07/2022,691.6305542,712.2999878,721.25,709,720.0999756,874964
15/07/2022,687.940979,708.5,721.25,705.0499878,719.4500122,999239
18/07/2022,676.29,696.5,713.6500244,693,710,1620545
19/07/2022,668.8612061,688.8499756,699,688,697,1592940
20/07/2022,667.7445068,687.7000122,696.75,686.75,694.2999878,1377738
21/07/2022,667.6,687.5499878,693,687.0499878,688,799923
22/07/2022,668.67,688.6500244,694.2999878,687.7000122,689.0499878,948078
25/07/2022,664.1,683.9500122,690,682,688,671602
26/07/2022,655.7528076,675.3499756,684.7999878,675,684,662692
27/07/2022,654.7818604,674.3499756,679.5999756,672.9000244,675,690747
28/07/2022,655.3158569,674.9000244,679.25,674,677,741896
29/07/2022,658.1317139,677.7999878,683.7999878,675,676.1500244,1519288
01/08/2022,663.08,682.9000244,685.5999756,678.4000244,680,949173
02/08/2022,665.6082764,685.5,688.9500122,680.2000122,682.4000244,1061968
03/08/2022,658.6172485,678.2999878,688,677,685,951585
04/08/2022,654.1506958,673.7000122,683.4500122,670.7000122,682,1036357
05/08/2022,667.4046021,687.3499756,694.9500122,674.0999756,675,3867024
08/08/2022,660.2678833,680,688,678.5,680.3499756,1215231
10/08/2022,662.79,682.5999756,687.9500122,680.75,682.5,1133206
11/08/2022,662.84,682.6500244,689.7999878,681.2999878,685.4500122,1055646
12/08/2022,662.5983276,682.4000244,687.0999756,681.0499878,683.25,867471
16/08/2022,677.4057007,697.6500244,706.5999756,691.2999878,693,4029367
17/08/2022,677.6971436,697.9500122,704,697,702,1443441
18/08/2022,676.05,696.25,703.5,695,698.9000244,1010173
19/08/2022,666.0452271,685.9500122,698.9500122,683.0999756,697.9000244,1403378
22/08/2022,655.7042847,675.2999878,684.9000244,675,684.9000244,1331779
23/08/2022,651.6261597,671.0999756,678.7999878,670.25,674.5,1053329
24/08/2022,656.63,676.25,683,672,673.0999756,1473399
25/08/2022,659.64,677.8499756,682.7999878,677.0499878,678.5,865146
26/08/2022,660.6165771,678.8499756,682.4000244,678.0499878,680.9000244,691903
29/08/2022,652.1503296,670.1500244,674.9500122,667.2000122,670,1400803
30/08/2022,655.4103394,673.5,676.9500122,672.2000122,673.5,689256
01/09/2022,650.74,668.7000122,676.8499756,668.0499878,673,1019021
02/09/2022,646.7980347,664.6500244,672.9000244,664,671,914138
05/09/2022,642.0782471,659.7999878,669.1500244,659.1500244,666,1467031
06/09/2022,635.2662964,652.7999878,663.8499756,651,662,1984406
07/09/2022,635.61,653.1500244,655.4000244,651,652.7999878,1236249
08/09/2022,636.29,653.8499756,659,652.2999878,656,1138616
09/09/2022,635.7528687,653.2999878,659,652.6500244,657.7999878,1220396
12/09/2022,634.6824341,652.2000122,656.75,651.5999756,655,1161662
13/09/2022,652.25,670.25,673.4000244,653.5,655,4249316
14/09/2022,645.630249,663.4500122,678,662.2000122,664.7000122,2467127
15/09/2022,654.5344849,672.5999756,676.5999756,660.1500244,665,2899060
16/09/2022,637.2125854,654.7999878,671.7000122,653.3499756,670.9000244,1723016
19/09/2022,637.1639404,654.75,663.5499878,654,658.2999878,1004677
20/09/2022,638.72,656.3499756,665.0499878,655.5499878,657.5499878,927521
21/09/2022,634.9257202,652.4500122,659.9000244,651.7999878,656.4000244,920171
22/09/2022,632.2982178,649.75,659,648,653,1270228
23/09/2022,625.5349731,642.7999878,652.9500122,642,651.5999756,1212921
26/09/2022,613.6139526,630.5499878,641,629.0999756,640,1072834
27/09/2022,611.91,628.7999878,637.5999756,628,632,1138955
28/09/2022,604.76,621.4500122,627.75,620.25,627.75,845815
29/09/2022,602.91,619.5499878,626.9000244,618,623.9000244,777577
30/09/2022,604.9530029,621.6500244,626.4000244,617,620.25,873228
03/10/2022,603.9312134,620.5999756,625,619.25,622,820751
04/10/2022,612.4,629.2999878,631.7999878,624,624,776287
06/10/2022,612.01,628.9000244,635.7999878,628.5,630.5499878,774273
07/10/2022,607.7264404,624.5,630,624,629,644846
10/10/2022,602.76,619.4000244,622.7000122,618.2000122,622.7000122,863600
11/10/2022,602.8607178,619.5,625.9500122,618,620.7000122,775141
