Date,Close,High,Low,Open,Volume
07/05/2018,104.9686813,106.0768551,104.6608628,105.368859,5823535
08/05/2018,105.5227814,105.8921727,104.8147851,105.3073106,3453937
09/05/2018,104.9071198,106.1384277,104.5992899,104.9994676,10928712
10/05/2018,103.737381,105.7074602,103.3372034,105.5227645,9844190
11/05/2018,103.0909348,104.8147567,102.7523186,103.4295396,15561708
14/05/2018,105.6766968,106.4462545,102.1366931,103.1217328,7046984
15/05/2018,104.722435,107.0926921,104.2299095,104.8147828,5782708
16/05/2018,104.6608734,105.7074746,103.7373952,104.9994784,3899072
17/05/2018,102.8754654,105.33807,102.5676356,104.7224217,6783446
18/05/2018,102.567627,103.491105,102.0443265,102.5060655,5496430
21/05/2018,101.2131882,102.93701,100.166576,102.1982276,3879174
22/05/2018,101.6749573,103.3987796,100.966961,101.1208703,4612272
23/05/2018,102.53685,103.3987553,101.3055422,101.4594514,3475720
24/05/2018,101.6133804,103.3064162,101.120855,102.59842,2379879
25/05/2018,101.7673035,103.4911258,101.5210464,101.8288649,7705690
28/05/2018,103.2448578,104.5685136,101.921202,102.2290318,11540245
29/05/2018,102.1674576,104.2914571,101.3978888,103.9528409,7141778
30/05/2018,101.7673035,103.6450463,101.2132165,101.274778,5414080
31/05/2018,103.1525269,104.937922,101.0285268,101.8904436,29432894
01/06/2018,101.1824265,103.1217307,100.7822601,103.1217307,2975864
04/06/2018,99.76643372,101.8288609,99.64329953,101.4594696,5021538
05/06/2018,99.30469513,100.0742528,98.50433982,99.42781804,2369418
06/06/2018,100.0434647,100.3820695,98.65824751,99.36624363,3647491
07/06/2018,100.0434647,100.659113,99.6125007,99.73563487,4624826
08/06/2018,99.39702606,100.0434607,98.99684848,99.88954018,2199740
11/06/2018,99.5817337,100.1050342,99.27390389,99.42781316,4838494
12/06/2018,99.30469513,100.0742528,99.05842676,99.73564787,3082809
13/06/2018,98.65826416,99.52016968,98.5043436,99.42782186,6527995
14/06/2018,97.51929474,98.62746854,97.27303765,98.62746854,6200254
15/06/2018,96.0725174,97.70399176,95.14903921,97.58085758,10800649
18/06/2018,96.65736389,97.14988927,95.98015418,96.25719759,2289944
19/06/2018,96.13407135,96.87285384,94.90276344,96.87285384,5222522
20/06/2018,96.68816376,97.08834139,95.98016759,96.53425449,7262452
21/06/2018,95.5799942,97.08834569,95.3645122,97.08834569,9600354
22/06/2018,96.84207916,97.3961661,94.62573143,95.42608674,5141889
25/06/2018,95.21060181,97.08834456,94.41025216,96.68816692,8198617
26/06/2018,95.79547119,96.22642391,94.5333825,95.08746376,6173371
27/06/2018,94.68730927,96.31878379,93.33287259,96.31878379,7083915
28/06/2018,96.28799438,97.21147263,92.0400001,94.19478079,15010362
29/06/2018,98.28885651,99.05841408,94.56415773,95.6415451,6659236
02/07/2018,94.53337097,97.98102046,93.20971535,97.88867265,15954402
03/07/2018,95.42607117,95.70311459,93.33285233,94.8104116,7506727
04/07/2018,94.1332016,95.94937712,93.88694452,95.39529025,11418056
05/07/2018,93.67146301,94.50259333,93.39441957,94.10242135,4155312
06/07/2018,92.44017029,93.85616835,92.25547464,93.82538763,10642270
09/07/2018,93.11737823,93.51755586,92.50172989,92.53251062,5759994
10/07/2018,94.74884796,94.96432993,93.14815455,93.57910722,3890373
11/07/2018,94.01009369,94.65652852,93.42522596,94.07166079,4037034
12/07/2018,94.84121704,95.24139471,93.85617169,94.81043067,3424965
13/07/2018,94.16400146,95.73390886,93.51756669,94.9335648,3615536
16/07/2018,95.79547119,96.65737662,93.60990434,94.19477196,4117044
17/07/2018,95.61077881,96.04173154,94.22555589,95.42608317,2670880
