Price,Close,High,Low,Open,Volume
Ticker,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS,NTPC.NS
Date,,,,,
2023-12-11,273.2840270996094,274.4254965825197,270.52550971614664,272.09500848356726,8071675
2023-12-12,269.5743103027344,274.52063964100626,267.14872379823703,273.42674825718933,8640883
2023-12-13,279.7047424316406,280.513280939102,270.62065133574737,270.85845507154323,23629670
2023-12-14,280.9889221191406,283.9376946025106,279.27674662752185,283.2242833095395,24900443
2023-12-15,290.21563720703125,292.0229394958768,280.6083620562986,283.46200641619316,28843558
2023-12-18,288.4083557128906,291.5949022548441,287.0290825613185,291.07174569598493,13307504
2023-12-19,294.5436706542969,297.25463876559377,287.74249032509476,290.1205274352195,15650536
2023-12-20,283.1291198730469,298.0632059786181,280.75108253322827,297.2546674773246,23497233
2023-12-21,287.2193908691406,288.3608314916452,278.89625932913646,281.3693951922859,17868637
2023-12-22,288.02789306640625,293.87788859381857,284.98402245537295,289.1693626885302,15207726
2023-12-26,294.49615478515625,295.5424970375438,289.740080027737,291.4998334937374,9917180
2023-12-27,291.1192932128906,297.01683689403336,288.7412560880385,296.39855304732646,12630732
2023-12-28,298.58636474609375,300.10831446036434,292.73639865349327,294.0205446320583,37591916
2023-12-29,295.97052001953125,299.01441941070067,293.1168752261009,299.01441941070067,12682889
2024-01-01,294.63885498046875,298.01565671901585,292.7839740639954,296.7790887938862,8024960
2024-01-02,291.0718078613281,295.6376285299939,287.3144967692533,295.6376285299939,13506040
2024-01-03,291.26202392578125,292.9741991926696,288.5034773986736,292.213238858225,14259987
2024-01-04,301.6302185058594,306.0533615145341,293.5448927160426,295.7326751417784,40057506
2024-01-05,299.58514404296875,309.76312604471184,297.44491052028013,307.1472850725369,27456415
2024-01-08,301.0119934082031,302.8192960727074,297.3498099127106,301.0119934082031,10136462
2024-01-09,304.1510314941406,305.7681087930341,300.63152397479905,302.34372859047124,12229517
2024-01-10,298.0632019042969,304.1509716052616,292.9741962608931,304.05584430721393,14455000
2024-01-11,297.6351318359375,301.82047152594305,297.11197526047727,299.5851397682724,10316319
2024-01-12,297.3973693847656,299.9180833751234,294.5913025006989,299.8229850964061,12341629
2024-01-15,301.82049560546875,302.48635768988174,294.4961578208101,299.5375855041307,9706124
2024-01-16,296.3034362792969,301.7729218606964,295.0192903805177,301.7729218606964,10162832
2024-01-17,294.2107238769531,298.7765723008266,292.1180687495197,294.63878214533156,13502940
2024-01-18,284.6986083984375,296.11318721607654,282.0827674193952,293.87785542064233,32481018
2024-01-19,293.4022521972656,294.3534671124407,286.9815515198338,288.97907961868106,28651237
2024-01-23,287.8376159667969,299.9180269997816,285.6498044207478,298.158302771386,21652362
2024-01-24,293.7827453613281,295.54249883804937,283.699861008417,288.17058291913827,23922028
2024-01-25,299.3948974609375,301.7253856372748,294.11566624192136,294.8766265699464,32525422
2024-01-29,308.7168273925781,309.8582970438522,300.7266269199967,302.29612591891424,24694773
2024-01-30,300.0607604980469,308.1460873819764,299.1570947053915,306.14853022842686,20918448
2024-01-31,302.0107727050781,304.38881028543307,297.34982485333825,303.00953687731555,20931224
2024-02-01,306.29119873046875,310.9997241112826,301.63025151206443,304.4363180583239,24020951
2024-02-02,316.2789611816406,317.42043069816737,307.3375467314336,308.1936343544408,32346639
2024-02-05,319.70330810546875,324.4118040663176,316.8020854754288,321.5106104650503,19651482
2024-02-06,321.0,322.72889305936064,316.00537445395724,322.72889305936064,12024661
2024-02-07,317.6382751464844,324.5538774461674,316.629729658964,324.5538774461674,8080437
2024-02-08,317.830322265625,322.00851467190927,315.04487043217375,320.75987294691157,17754869
2024-02-09,312.0673522949219,321.76843638878887,306.97669920530035,319.7994173835362,18304439
2024-02-12,303.6629333496094,313.79625477589957,302.0781097016942,313.26796068511635,11714289
2024-02-13,308.8496398925781,311.15486988529034,303.4228053518535,305.9681317139048,15426888
2024-02-14,315.0448913574219,316.3415758885619,305.77604599547766,308.2253162003514,14085723
2024-02-15,325.8505554199219,327.43537908273373,317.1099746000096,317.92640779364524,21973316
2024-02-16,324.4097900390625,329.4044158518932,323.4973007404169,328.3958704198823,20307449
2024-02-19,325.3703308105469,328.3959088360829,324.1697022835707,326.9551546037115,8496898
2024-02-20,332.04583740234375,332.8142279353151,324.45784165620705,327.1472671460466,19340526
2024-02-21,322.8249206542969,334.30290881455255,321.480222914512,333.29439283776696,17751633
2024-02-22,326.138671875,326.8110354730121,317.54219051307587,325.61040712814435,16083122
2024-02-23,324.4097900390625,326.5709211348076,321.62433804476774,326.5709211348076,9665454
2024-02-26,324.2657165527344,325.1301631180793,321.3361657379006,324.6499117693081,7711995
2024-02-27,322.8249206542969,324.64986968059145,320.90391550825785,322.8249206542969,8882923
2024-02-28,320.13555908203125,323.209179647549,318.69480493798574,322.4407891622786,12977628
2024-02-29,322.3447265625,322.7289217974344,317.54221284527625,320.13555266524656,13149469
2024-03-01,329.93267822265625,330.74911138201145,321.7684052535367,322.34471273732953,13027254
